nom:definition:exemple
amphi:amphithéatre en parti à distance en parti dans le lieux:
slides: Ce qui est affiché sur le projecteur et donc visible pour les élèves connecté à l'amphi:
exercice::
réponce::
cloreunexercice:
présentationdesresultats:
leplusrapide:
slide d'attente: titre heure nom du prof nombre de minute a attendre nombre de connectés etc:
console du prof: la view de l'amphi spécial pour le prof:
